a	a	['boa', 'pea', 'sea', 'tea']
dere	ered	['clambered', 'clattered', 'flattered', 'fluttered', 'glimmered', 'recovered', 'scattered', 'shattered', 'shuddered', 'shuttered', 'spattered', 'staggered', 'stammered', 'uncovered', 'unpapered', 'whiskered', 'whispered']
gnire	ering	['considering', 'discovering', 'persevering']
sre	ers	['answers', 'borders', 'coiners', 'coppers', 'corners', 'dangers', 'drawers', 'fingers', 'flowers', 'gaiters', 'hinders', 'ledgers', 'letters', 'manners', 'matters', 'murders', 'numbers', 'ostlers', 'passers', 'prefers', 'rashers', 'readers', 'senders', 'ulsters', 'writers']
se	es	['acres', 'ashes', 'bodes', 'bones', 'boxes', 'cares', 'cases', 'clues', 'comes', 'cries', 'dates', 'eaves', 'edges', 'faces', 'files', 'flies', 'fumes', 'gales', 'gates', 'gives', 'holes', 'hopes', 'jokes', 'knees', 'lanes', 'lines', 'lives', 'loves', 'makes', 'mates', 'miles', 'mines', 'moves', 'names', 'notes', 'paces', 'pipes', 'poses', 'ropes', 'rules', 'safes', 'shoes', 'sides', 'soles', 'spies', 'takes', 'tales', 'times', 'tones', 'trees', 'tubes', 'tunes', 'wages', 'waves', 'wines', 'wives']
sse	ess	['actress', 'address', 'confess', 'endless', 'harness', 'heiress', 'illness', 'madness', 'peeress', 'possess', 'process', 'success', 'useless', 'witness']
tse	est	['bequest', 'coolest', 'crudest', 'dearest', 'deepest', 'earnest', 'fattest', 'hardest', 'harvest', 'highest', 'inquest', 'keenest', 'largest', 'nearest', 'noblest', 'request', 'richest', 'saddest', 'suggest', 'tiniest', 'warmest']
te	et	['beget', 'facet', 'greet', 'quiet', 'sheet', 'sweet', 'upset', 'valet']
f	f	['off']
luf	ful	['baleful', 'bashful', 'careful', 'caseful', 'hopeful', 'painful', 'pitiful']
g	g	['bag', 'beg', 'big', 'dig', 'dog', 'dug', 'egg', 'fog', 'jug', 'leg', 'rug', 'tug', 'wig']
eg	ge	['badge', 'beige', 'budge', 'bulge', 'hedge', 'judge', 'large', 'lodge', 'stage', 'tinge', 'usage', 'verge']
deg	ged	['changed', 'charged', 'dragged', 'emerged', 'engaged', 'flagged', 'fringed', 'frogged', 'lounged', 'managed', 'obliged', 'pledged', 'plunged', 'sponged', 'wronged']
reg	ger	['manager', 'snigger', 'stagger', 'younger']
thg	ght	['brought', 'delight', 'draught', 'insight', 'thought']
gnig	ging	['belonging', 'springing']
sg	gs	['dregs', 'fangs', 'flags', 'hangs', 'kings', 'plugs', 'rings', 'sings', 'songs', 'tongs', 'wings']
h	h	['ash', 'heh']
deh	hed	['brushed', 'crushed', 'flashed', 'flushed', 'laughed', 'loathed', 'lurched', 'mouthed', 'parched', 'perched', 'pinched', 'reached', 'slashed', 'smashed', 'soothed', 'touched', 'watched', 'weighed', 'writhed']
